,OrdereinstellungenAnzahl,GeschaefteAnzahl,GeschaefteKurswert,OrderloeschungenAnzahl,OrderaenderungenAnzahl,KurswertMedian,OrdereinstellungenWertMedian,MarketMakerAnzahl,ISIN,date
333,6,1,12331.0,0,0,12331.0,68,1,US7599161095,2020-12-01
334,1,1,5037.0,0,0,5037.0,500,1,IE00BFXR5W90,2020-12-01
336,29,6,18431.0,0,0,4248.0,1,1,DE000LS8H3N5,2020-12-01
340,3,1,2850.0,0,0,2850.0,3000,1,DE000LS6YS24,2020-12-01
342,2,2,11000.0,0,0,5700.0,2000,1,DE000LS8KN98,2020-12-01
343,6,1,319.2,0,0,319.2,3800,1,BMG8162K1137,2020-12-01
344,2,1,765.615,0,0,765.615,1000,1,IE00BGDPWW94,2020-12-01
345,16,8,48667.7,0,0,4422.0,5,1,LU1829220216,2020-12-01
347,4,1,1976.0,0,0,1976.0,400,1,DE000LS68RS7,2020-12-01
348,15,11,34270.89,0,0,1010.87,7,1,DE000A1DCTL3,2020-12-01
349,3,1,1040.5,0,0,1040.5,50,1,SE0000825820,2020-12-01
350,23,6,27230.0,0,0,3412.5,175,1,DE000A0JM2M1,2020-12-01
352,2,1,4748.0,0,0,4748.0,1000,1,GB00B132NW22,2020-12-01
353,4,1,334.807,0,0,334.807,1764,1,CA72764B1004,2020-12-01
354,1,1,26.94,0,0,26.94,2,1,LU0429790743,2020-12-01
355,7953,470,1339978.864,0,0,1360.5,350,1,KYG9830T1067,2020-12-01
358,93,7,14807.482,0,0,2190.0,10000,1,GB00B11SZ269,2020-12-01
359,4,1,2016.0,0,0,2016.0,25,1,US75689M1018,2020-12-01
361,12,1,504.0,0,0,504.0,200,1,PTCTT0AM0001,2020-12-01
362,42,1,13800.0,0,0,13800.0,5000,1,DE000LS8KN72,2020-12-01
364,149,11,74329.7,0,0,4722.0,60,1,DE000TLX1005,2020-12-01
365,103,20,62234.07,0,0,326.92,0,1,LU0478205379,2020-12-01
366,2,1,13.2,0,0,13.2,5000,1,CA59511R2072,2020-12-01
369,4,1,298.68,0,0,298.68,1,1,DE000LS74PZ4,2020-12-01
370,2,1,18.4,0,0,18.4,100,1,CA02301T1084,2020-12-01
372,1,1,2604.0,0,0,2604.0,60,1,IE00BLS09M33,2020-12-01
373,1,1,562.0,0,0,562.0,400,1,GB00B0C18177,2020-12-01
374,12,1,556.946,0,0,556.946,100,1,IE00B5LJZQ16,2020-12-01
375,1,1,972.0,0,0,972.0,20,1,JP3942600002,2020-12-01
377,185,10,31065.5,0,0,2545.0,0,1,CH0042615283,2020-12-01
380,26,4,27152.264,0,0,6329.0,1000,1,BRVALEACNOR0,2020-12-01
382,1,1,6205.5,0,0,6205.5,450,1,DE000LS5A0J9,2020-12-01
384,6,1,117.82,0,0,117.82,43,1,HK0000264595,2020-12-01
385,15,2,4137.51,0,0,3635.9,487,1,AU0000005001,2020-12-01
386,2,1,1223.74,0,0,1223.74,70,1,US83012A1097,2020-12-01
387,2,2,798.96,0,0,690.0,1500,1,DE000LS8LQ86,2020-12-01
388,1,1,20.0,0,0,20.0,50,1,DE000LS8M285,2020-12-01
390,1,1,129.5,0,0,129.5,350,1,DE000LS8G0D3,2020-12-01
391,43,6,18710.1,0,0,3152.0,119,1,DE000A0MVLS8,2020-12-01
